Rule,Support,Confidence,Lift,Representativity,Leverage,Conviction,Zhangs_Metric,Jaccard,Certainty,Kulczynski
"{P_af, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, P_og}",0.109,0.526,1.84,1.0,0.05,1.506,0.576,0.284,0.336,0.454
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, på}",0.121,0.548,1.384,1.0,0.034,1.337,0.356,0.244,0.252,0.427
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, i}",0.125,0.566,1.37,1.0,0.034,1.352,0.346,0.246,0.261,0.435
"{P_en, P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.107,0.61,1.365,1.0,0.029,1.418,0.324,0.208,0.295,0.425
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, til}",0.121,0.545,1.36,1.0,0.032,1.317,0.34,0.24,0.241,0.423
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, af}",0.119,0.539,1.352,1.0,0.031,1.305,0.334,0.238,0.233,0.419
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, og}",0.123,0.557,1.35,1.0,0.032,1.326,0.333,0.241,0.246,0.428
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.133,0.602,1.348,1.0,0.034,1.392,0.332,0.249,0.281,0.45
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, er}",0.115,0.521,1.292,1.0,0.026,1.246,0.29,0.226,0.197,0.403
"{P_en, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER, en}",0.119,0.539,1.285,1.0,0.026,1.26,0.285,0.229,0.206,0.412
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, på}",0.161,0.504,1.273,1.0,0.035,1.218,0.315,0.291,0.179,0.455
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, i}",0.168,0.525,1.27,1.0,0.036,1.235,0.312,0.297,0.19,0.465
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, af}",0.162,0.506,1.269,1.0,0.034,1.218,0.312,0.291,0.179,0.456
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, til}",0.162,0.508,1.268,1.0,0.034,1.219,0.311,0.291,0.179,0.457
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, er}",0.163,0.51,1.265,1.0,0.034,1.218,0.308,0.291,0.179,0.457
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, og}",0.166,0.519,1.257,1.0,0.034,1.22,0.3,0.293,0.18,0.46
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.176,0.55,1.231,1.0,0.033,1.229,0.276,0.298,0.187,0.472
"{P_af, P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.109,0.547,1.224,1.0,0.02,1.22,0.228,0.203,0.181,0.396
"{P_en, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, i}",0.139,0.502,1.215,1.0,0.025,1.179,0.245,0.252,0.152,0.419
"{P_i, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER, en}",0.162,0.506,1.207,1.0,0.028,1.176,0.252,0.28,0.15,0.446
"{P_en, P_og} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.147,0.531,1.189,1.0,0.023,1.18,0.22,0.255,0.153,0.43
"{P_af, P_i} => {HAS_ENGLISH_WORD_IN_ANSWER}",0.11,0.529,1.184,1.0,0.017,1.174,0.196,0.202,0.148,0.387
{P_en} => {HAS_ENGLISH_WORD_IN_ANSWER},0.233,0.525,1.175,1.0,0.035,1.164,0.267,0.354,0.141,0.523
{P_i} => {HAS_ENGLISH_WORD_IN_ANSWER},0.222,0.506,1.133,1.0,0.026,1.12,0.209,0.335,0.107,0.502
{P_og} => {HAS_ENGLISH_WORD_IN_ANSWER},0.286,0.506,1.132,1.0,0.033,1.12,0.269,0.394,0.107,0.573
